3.645833333333332038e-01,4.545454545454544193e-02,5.512820512820512109e-01,1.103448275862069089e-01,1.102362204724409295e-01,4.225352112676056815e-01,2.830188679245283501e-01,4.882525697503723450e-01,5.826086956521736582e-01,2.645161290322581293e-01,3.571428571428572063e-01,0.000000000000000000e+00
3.229166666666665741e-01,5.511363636363636465e-01,0.000000000000000000e+00,7.586206896551724033e-02,1.259842519685038797e-01,9.859154929577465531e-02,6.289308176100628922e-02,4.647577092511028241e-01,4.521739130434783149e-01,1.225806451612903025e-01,2.500000000000002220e-01,0.000000000000000000e+00
3.854166666666666852e-01,2.613636363636363535e-01,1.282051282051281937e-01,5.517241379310344751e-02,1.076115485564304447e-01,7.042253521126760896e-02,1.194968553459119648e-01,4.214390602055857471e-01,1.999999999999997335e-01,1.935483870967741327e-02,2.321428571428569843e-01,0.000000000000000000e+00
8.645833333333332593e-01,3.522727272727271819e-01,6.282051282051280827e-01,2.344827586206896242e-01,1.338582677165354173e-01,7.042253521126760896e-02,2.578616352201257844e-01,8.832599118942852101e-01,3.826086956521739246e-01,1.806451612903226533e-01,7.678571428571427937e-01,0.000000000000000000e+00
3.124999999999999445e-01,7.954545454545455807e-02,4.743589743589742835e-01,6.206896551724137845e-02,3.149606299212596994e-02,3.098591549295774961e-01,3.396226415094339979e-01,5.161527165932398020e-01,4.782608695652172948e-01,2.000000000000000111e-01,6.607142857142855874e-01,0.000000000000000000e+00
8.854166666666665186e-01,3.409090909090909394e-01,6.666666666666666297e-01,8.965517241379310220e-02,9.711286089238842234e-02,1.549295774647887203e-01,1.823899371069182540e-01,7.731277533039673244e-01,2.086956521739131709e-01,1.032258064516129448e-01,1.071428571428572063e-01,0.000000000000000000e+00
1.458333333333332038e-01,4.204545454545455252e-01,1.025641025641025605e-01,6.896551724137929551e-02,1.128608923884514420e-01,3.239436619718309984e-01,2.452830188679245293e-01,3.825256975036666063e-01,6.434782608695654993e-01,1.806451612903226533e-01,3.392857142857144126e-01,0.000000000000000000e+00
4.583333333333332038e-01,5.909090909090909394e-01,1.410256410256410242e-01,1.310344827586206740e-01,1.548556430446194621e-01,1.408450704225352179e-01,2.389937106918239018e-01,6.468428781204096367e-01,3.913043478260869179e-01,9.677419354838712184e-02,1.964285714285713969e-01,0.000000000000000000e+00
6.145833333333332593e-01,9.772727272727272929e-01,5.512820512820512109e-01,1.379310344827586188e-01,1.102362204724409295e-01,3.521126760563380587e-01,5.157232704402515688e-01,6.116005873715124608e-01,1.913043478260871844e-01,1.096774193548386567e-01,3.035714285714286031e-01,0.000000000000000000e+00
6.145833333333332593e-01,1.704545454545454419e-01,6.282051282051280827e-01,1.103448275862069089e-01,8.661417322834645549e-02,7.042253521126760896e-02,9.433962264150942689e-02,6.336270190895731957e-01,3.478260869565215074e-01,2.967741935483871329e-01,4.107142857142855874e-01,0.000000000000000000e+00
